id,nomor_peraturan,judul,jenis_peraturan,tahun,tentang
1,UU No. 1 Tahun 1946,Kitab Undang-Undang Hukum Pidana (KUHP),Undang-Undang,1946,"Peraturan hukum pidana yang mengatur tindak pidana dan sanksi hukum bagi warga negara Indonesia, mencakup kejahatan terhadap keamanan negara, nyawa, harta benda, kehormatan, dan kesusilaan serta pelanggaran-pelanggaran umum."
2,UU No. 39 Tahun 1999,Hak Asasi Manusia,Undang-Undang,1999,"Pengakuan dan perlindungan hak asasi manusia sebagai hak dasar yang melekat pada setiap manusia sejak lahir, meliputi hak untuk hidup, kebebasan beragama, kebebasan berpendapat, hak atas pendidikan, serta hak atas perlakuan yang adil di muka hukum."
3,UU No. 11 Tahun 2008,Informasi dan Transaksi Elektronik (ITE),Undang-Undang,2008,"Pengaturan tentang informasi elektronik dan transaksi elektronik di Indonesia, mencakup larangan penyebaran konten ilegal, pencemaran nama baik di media sosial, penipuan online, akses ilegal ke sistem elektronik, serta ketentuan bukti elektronik dalam proses hukum."
4,UU No. 13 Tahun 2003,Ketenagakerjaan,Undang-Undang,2003,"Pengaturan hubungan kerja antara pengusaha dan pekerja/buruh di Indonesia, mencakup upah minimum, jam kerja, cuti, perlindungan kerja, pemutusan hubungan kerja (PHK), pesangon, jamsostek, dan hak-hak normatif pekerja lainnya."
5,UU No. 36 Tahun 2009,Kesehatan,Undang-Undang,2009,"Pengaturan sistem kesehatan nasional yang menjamin setiap warga negara memperoleh pelayanan kesehatan yang aman, bermutu, dan terjangkau, serta mengatur tanggung jawab pemerintah, tenaga kesehatan, fasilitas kesehatan, dan pembiayaan kesehatan melalui BPJS."
6,UU No. 20 Tahun 2003,Sistem Pendidikan Nasional,Undang-Undang,2003,"Penetapan sistem pendidikan nasional yang mencakup pendidikan dasar 9 tahun wajib belajar, standar nasional pendidikan, akreditasi, kurikulum, pendidikan tinggi, pendidikan nonformal, serta hak dan kewajiban warga negara dalam memperoleh pendidikan yang bermutu."
7,UU No. 8 Tahun 1999,Perlindungan Konsumen,Undang-Undang,1999,"Perlindungan hak-hak konsumen dalam transaksi jual beli barang dan jasa, mengatur kewajiban pelaku usaha untuk memberikan informasi yang benar, melarang praktik perdagangan yang menipu atau merugikan konsumen, serta membentuk Badan Penyelesaian Sengketa Konsumen (BPSK)."
8,UU No. 31 Tahun 1999,Pemberantasan Tindak Pidana Korupsi,Undang-Undang,1999,"Pemberantasan tindak pidana korupsi di Indonesia yang mengatur perbuatan memperkaya diri secara melawan hukum dan merugikan keuangan negara, suap-menyuap, gratifikasi, penggelapan jabatan, serta pembuktian terbalik bagi pejabat yang memiliki harta tidak wajar."
9,UU No. 35 Tahun 2009,Narkotika,Undang-Undang,2009,"Pengaturan tentang narkotika di Indonesia yang mengklasifikasikan narkotika ke dalam tiga golongan berdasarkan bahaya dan manfaatnya, menetapkan sanksi pidana bagi pengguna, pengedar, dan produsen narkotika, serta mengatur program rehabilitasi bagi pecandu."
10,UU No. 1 Tahun 1974,Perkawinan,Undang-Undang,1974,"Pengaturan perkawinan di Indonesia yang menetapkan syarat sah perkawinan berdasarkan hukum agama dan hukum negara, batas usia perkawinan, hak dan kewajiban suami istri, harta bersama, perceraian, dan hak-hak anak yang lahir dari perkawinan."
